Iteration,Fitness,Chromosome
0,5.18,[-7.11, 5.07, 10.59, -15.66, -6.21, 12.67, -12.48, 5.92, 1.9, 17.07]
1,4.58,[3.71, 4.02, -3.71, 10.78, -1.85, -3.2, -0.35, 5.92, 1.9, 17.07]
2,4.34,[3.71, 4.02, -3.71, 10.78, -1.85, -3.2, 7.71, -6.23, 5.76, 10.07]
3,4.34,[15.74, 4.02, -3.71, 10.78, -1.85, -3.2, 7.71, -6.23, 5.76, 10.07]
4,4.1,[-4.86, 0.35, 3.73, 10.78, -1.85, -3.2, 7.71, -6.23, 5.76, 10.07]
5,4.04,[-5.07, 4.02, 1.42, -7.85, -1.85, -3.2, -0.35, 9.35, -5.85, 9.61]
6,3.98,[-5.07, 4.02, 1.42, -7.85, -1.85, -3.2, 7.71, -6.23, 5.76, 10.07]
7,3.87,[-4.55, 0.35, 3.73, 10.78, -1.85, -3.2, -0.35, -6.23, 5.76, 10.07]
8,3.84,[-4.86, 0.35, 3.73, 10.78, -1.85, -3.2, -0.35, -6.23, 5.76, 10.07]
9,3.69,[5.99, -7.78, 6.09, -4.12, -6.21, 12.67, -0.35, -6.23, 5.76, 10.07]
10,3.6,[5.99, -7.78, 6.09, -4.12, -6.21, -3.2, -0.35, -6.23, 5.76, 10.07]
11,3.41,[-4.55, 0.35, 6.09, -4.12, -6.21, -3.2, -0.35, -6.23, 5.76, 10.07]
12,3.35,[1.73, 0.87, -1.27, -7.34, 6.33, -3.2, -0.35, -6.23, 5.76, 10.07]
13,3.17,[0.14, 0.87, -1.27, -7.34, 6.33, -3.2, -0.35, -6.23, 5.76, 10.07]
14,3.17,[0.14, 0.87, -1.27, -7.34, 6.33, -3.2, -0.35, -6.23, 5.76, 10.07]
15,3.17,[0.14, 0.87, -1.27, -7.34, 6.33, -3.2, -0.35, -6.23, 5.76, 10.07]
16,3.01,[0.14, 0.87, -1.27, 4.61, 0.53, -3.2, -0.35, -6.23, 5.76, 10.07]
17,3.01,[0.14, 0.87, -1.27, 4.61, 0.53, -3.2, -0.35, -6.23, 5.76, 10.07]
18,3.01,[0.14, 0.87, -1.27, 4.61, 0.53, -3.2, -0.35, -6.23, 5.76, 10.07]
19,3.01,[0.14, 0.87, -1.27, 4.61, 0.53, -3.2, -0.35, -6.23, 5.76, 10.07]
20,3.0,[0.14, 0.87, -1.27, 4.61, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
21,3.0,[0.14, 0.87, -1.27, 4.61, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
22,2.85,[-0.36, 0.35, -1.27, -6.16, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
23,2.85,[-0.36, 0.35, -1.27, -6.16, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
24,2.85,[-0.36, 0.35, -1.27, -6.16, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
25,2.8,[1.14, 0.35, -1.27, -0.35, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
26,2.72,[0.14, 0.35, 6.09, -0.35, 0.53, 3.8, -0.35, -6.23, 5.76, 10.07]
27,2.62,[1.14, 0.35, 1.42, -0.35, 0.53, -5.74, -0.35, -6.23, 5.76, 10.07]
28,2.49,[1.14, 0.35, 1.42, -0.35, 0.53, 0.59, -0.35, -6.23, 5.76, 10.07]
29,2.47,[0.14, 0.35, -1.27, -0.35, 0.53, -5.74, -0.35, -6.23, 5.76, 10.07]
30,2.38,[-0.36, 0.35, 1.42, -0.35, 0.53, 0.59, -0.35, -6.23, 5.76, 10.07]
31,2.38,[-0.36, 0.35, 1.42, -0.35, 0.53, 0.59, -0.35, -6.23, 5.76, 10.07]
32,2.37,[0.14, 0.35, 1.42, -0.35, 0.53, 0.59, -0.35, -6.23, 5.76, 10.07]
